instance,route_set_id,reason
all,cplex_selector_limit_rows,count=95 true_milp_ratio_sum_selector_too_large_nonclosed
all,cplex_time_limit_rows,count=1 true_milp_time_limit_nonclosed
all,profile_bpc_limited_rows,count=27 profile_bpc_time_or_node_limit_noncertified
regen_candidate_V12_M2_average.txt,v12_long_profile_bpc_rows,profile_bpc_skipped_for_long_routes_after_medium_rows_tested
