instance,route_set_id,V,M,route_lengths,algorithm,status,objective,G,P,runtime_ms,cplex_status,cplex_objective,cplex_G,cplex_P,cplex_LB,cplex_UB,cplex_gap,cplex_runtime_ms,cplex_nodes,objective_diff,profiles_generated,profiles_after_dominance,profile_bpc_nodes,profile_bpc_pricing_calls,cache_hits,cache_misses,incremental_speedup,verifier_passed,exact_for_fixed_routes,result_file,log_file,notes
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs0",12,2,4;4,"cplex-fixed-route","cplex_true_milp_not_closed",0,0,0,73.3194,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs0_cplex_milp.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs0_cplex_milp.log","Exact ratio-sum selector set exceeded the configured safety limit."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs0",12,2,4;4,"profile-bpc","profile_bpc_exact_bb_optimal",0.879622054342,0.612493235052,1.78085879526,1095109.0812,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,667934,118050,3388859381,2,0,0,0,"True","True","results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs0_profile_bpc.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs0_profile_bpc.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration.; CPLEX true MILP did not close; profile-BPC exactness is not externally certified on this row."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs10",12,2,3;4,"cplex-fixed-route","cplex_true_milp_not_closed",0,0,0,68.5969,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs10_cplex_milp.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs10_cplex_milp.log","Exact ratio-sum selector set exceeded the configured safety limit."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs10",12,2,3;4,"profile-bpc","profile_bpc_time_or_node_limit",1.01410746543,0.687375628088,2.17821224897,185.5432,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,35895,23118,500001,2,0,0,0,"True",False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs10_profile_bpc.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs10_profile_bpc.log","Exact profile master was stopped by profile-BPC time/node limit; no exactness claim is made.; Profile enumeration was truncated or used pruning; row is diagnostic.; Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration.; CPLEX true MILP did not close; profile-BPC exactness is not externally certified on this row."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs11",12,2,3;3,"cplex-fixed-route","cplex_true_milp_not_closed",0,0,0,73.5306,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs11_cplex_milp.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs11_cplex_milp.log","Exact ratio-sum selector set exceeded the configured safety limit."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs11",12,2,3;3,"profile-bpc","profile_bpc_time_or_node_limit",0.973484203879,0.620021400344,2.35641869024,178.654,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,25573,13869,500001,2,0,0,0,"True",False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs11_profile_bpc.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs11_profile_bpc.log","Exact profile master was stopped by profile-BPC time/node limit; no exactness claim is made.; Profile enumeration was truncated or used pruning; row is diagnostic.; Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration.; CPLEX true MILP did not close; profile-BPC exactness is not externally certified on this row."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs12",12,2,3;3,"cplex-fixed-route","cplex_true_milp_not_closed",0,0,0,72.8491,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs12_cplex_milp.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs12_cplex_milp.log","Exact ratio-sum selector set exceeded the configured safety limit."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs12",12,2,3;3,"profile-bpc","profile_bpc_time_or_node_limit",0.907790093532,0.609775115535,1.98676651999,175.5725,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,21181,7858,500001,2,0,0,0,"True",False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs12_profile_bpc.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs12_profile_bpc.log","Exact profile master was stopped by profile-BPC time/node limit; no exactness claim is made.; Profile enumeration was truncated or used pruning; row is diagnostic.; Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration.; CPLEX true MILP did not close; profile-BPC exactness is not externally certified on this row."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs13",12,2,3;4,"cplex-fixed-route","cplex_true_milp_not_closed",0,0,0,131.363,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs13_cplex_milp.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs13_cplex_milp.log","Exact ratio-sum selector set exceeded the configured safety limit."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs13",12,2,3;4,"profile-bpc","profile_bpc_time_or_node_limit",0.980910383093,0.627032114802,2.35918845527,190.3222,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,103754,35602,500001,2,0,0,0,"True",False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs13_profile_bpc.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs13_profile_bpc.log","Exact profile master was stopped by profile-BPC time/node limit; no exactness claim is made.; Profile enumeration was truncated or used pruning; row is diagnostic.; Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration.; CPLEX true MILP did not close; profile-BPC exactness is not externally certified on this row."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs14",12,2,3;3,"cplex-fixed-route","cplex_true_milp_not_closed",0,0,0,99.7117,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs14_cplex_milp.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs14_cplex_milp.log","Exact ratio-sum selector set exceeded the configured safety limit."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs14",12,2,3;3,"profile-bpc","profile_bpc_time_or_node_limit",1.01154879558,0.662333247544,2.32810365361,168.1355,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,26427,6390,500001,2,0,0,0,"True",False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs14_profile_bpc.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs14_profile_bpc.log","Exact profile master was stopped by profile-BPC time/node limit; no exactness claim is made.; Profile enumeration was truncated or used pruning; row is diagnostic.; Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration.; CPLEX true MILP did not close; profile-BPC exactness is not externally certified on this row."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs15",12,2,4;3,"cplex-fixed-route","cplex_true_milp_not_closed",0,0,0,69.0713,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs15_cplex_milp.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs15_cplex_milp.log","Exact ratio-sum selector set exceeded the configured safety limit."
"regen_candidate_V12_M2_average.txt","regen_candidate_V12_M2_average_v12_medium_rs15",12,2,4;3,"profile-bpc","profile_bpc_time_or_node_limit",1.06089150011,0.678111635495,2.5518657641,282.914,"cplex_milp_ratio_sum_selector_limit",0,0,0,0,0,1,0,0,0,438377,132577,500001,2,0,0,0,"True",False,"results/round3_paper_exact_loading\raw\regen_candidate_V12_M2_average_v12_medium_rs15_profile_bpc.json","results/round3_paper_exact_loading\logs\regen_candidate_V12_M2_average_v12_medium_rs15_profile_bpc.log","Exact profile master was stopped by profile-BPC time/node limit; no exactness claim is made.; Profile enumeration was truncated or used pruning; row is diagnostic.; Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration.; CPLEX true MILP did not close; profile-BPC exactness is not externally certified on this row."
