instance,route_set_id,V,M,route_lengths,algorithm,status,objective,G,P,runtime_ms,cplex_status,cplex_objective,cplex_G,cplex_P,cplex_LB,cplex_UB,cplex_gap,cplex_runtime_ms,cplex_nodes,objective_diff,profiles_generated,profiles_after_dominance,profile_bpc_nodes,profile_bpc_pricing_calls,cache_hits,cache_misses,incremental_speedup,verifier_passed,exact_for_fixed_routes,result_file,log_file,notes
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_v4_rs0",4,1,3,"profile-dp","fixed_route_optimal",0.27625,0.15625,0.8,0.0683,"integer optimal solution",0.27625,0,0,0.27625,0.27625,0,0,0,0,75,75,76,1,0,0,0,"True","True","results/round3_paper_exact_loading\raw\gcap_smoke_V4_M1_v4_rs0_profile_dp.json","results/round3_paper_exact_loading\logs\gcap_smoke_V4_M1_v4_rs0_profile_dp.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_v4_rs10",4,1,3,"profile-dp","fixed_route_optimal",0.33,0.15,1.2,0.0834,"integer optimal solution",0.33,0,0,0.33,0.33,0,0,0,5.55111512313E-17,110,110,111,1,0,0,0,"True","True","results/round3_paper_exact_loading\raw\gcap_smoke_V4_M1_v4_rs10_profile_dp.json","results/round3_paper_exact_loading\logs\gcap_smoke_V4_M1_v4_rs10_profile_dp.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_v4_rs11",4,1,1,"profile-dp","fixed_route_optimal",0.49,0.25,1.6,0.0078,"integer optimal solution",0.49,0,0,0.49,0.49,0,0,0,0,3,3,4,1,0,0,0,"True","True","results/round3_paper_exact_loading\raw\gcap_smoke_V4_M1_v4_rs11_profile_dp.json","results/round3_paper_exact_loading\logs\gcap_smoke_V4_M1_v4_rs11_profile_dp.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_v4_rs12",4,1,2,"profile-dp","fixed_route_optimal",0.465,0.225,1.6,0.03,"integer optimal solution",0.465,0,0,0.465,0.465,0,0,0,0,22,22,23,1,0,0,0,"True","True","results/round3_paper_exact_loading\raw\gcap_smoke_V4_M1_v4_rs12_profile_dp.json","results/round3_paper_exact_loading\logs\gcap_smoke_V4_M1_v4_rs12_profile_dp.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_v4_rs13",4,1,1,"profile-dp","fixed_route_optimal",0.341176470588,0.191176470588,1,0.0079,"integer optimal solution",0.341176470588,0,0,0.341176470588,0.341176470588,0,0,0,1.53210777398E-14,5,5,6,1,0,0,0,"True","True","results/round3_paper_exact_loading\raw\gcap_smoke_V4_M1_v4_rs13_profile_dp.json","results/round3_paper_exact_loading\logs\gcap_smoke_V4_M1_v4_rs13_profile_dp.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_v4_rs14",4,1,1,"profile-dp","fixed_route_optimal",0.49,0.25,1.6,0.0065,"integer optimal solution",0.49,0,0,0.49,0.49,0,0,0,0,3,3,4,1,0,0,0,"True","True","results/round3_paper_exact_loading\raw\gcap_smoke_V4_M1_v4_rs14_profile_dp.json","results/round3_paper_exact_loading\logs\gcap_smoke_V4_M1_v4_rs14_profile_dp.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_v4_rs15",4,1,3,"profile-dp","fixed_route_optimal",0.222352941176,0.132352941176,0.6,0.0874,"integer optimal solution",0.222352941176,0,0,0.222352941176,0.222352941176,0,0,0,1.06026298852E-14,110,110,111,1,0,0,0,"True","True","results/round3_paper_exact_loading\raw\gcap_smoke_V4_M1_v4_rs15_profile_dp.json","results/round3_paper_exact_loading\logs\gcap_smoke_V4_M1_v4_rs15_profile_dp.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_v4_rs16",4,1,3,"profile-dp","fixed_route_optimal",0.222352941176,0.132352941176,0.6,0.1017,"integer optimal solution",0.222352941176,0,0,0.222352941176,0.222352941176,0,0,0,1.06026298852E-14,125,125,126,1,0,0,0,"True","True","results/round3_paper_exact_loading\raw\gcap_smoke_V4_M1_v4_rs16_profile_dp.json","results/round3_paper_exact_loading\logs\gcap_smoke_V4_M1_v4_rs16_profile_dp.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_v4_rs17",4,1,1,"profile-dp","fixed_route_optimal",0.49,0.25,1.6,0.0079,"integer optimal solution",0.49,0,0,0.49,0.49,0,0,0,0,3,3,4,1,0,0,0,"True","True","results/round3_paper_exact_loading\raw\gcap_smoke_V4_M1_v4_rs17_profile_dp.json","results/round3_paper_exact_loading\logs\gcap_smoke_V4_M1_v4_rs17_profile_dp.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_v4_rs18",4,1,2,"profile-dp","fixed_route_optimal",0.286666666667,0.166666666667,0.8,0.0217,"integer optimal solution",0.286666666667,0,0,0.286666666667,0.286666666667,0,0,0,1.06692432666E-13,25,25,26,1,0,0,0,"True","True","results/round3_paper_exact_loading\raw\gcap_smoke_V4_M1_v4_rs18_profile_dp.json","results/round3_paper_exact_loading\logs\gcap_smoke_V4_M1_v4_rs18_profile_dp.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
