instance,route_set_id,V,M,route_lengths,algorithm,status,objective,G,P,runtime_ms,cplex_status,cplex_objective,cplex_G,cplex_P,cplex_LB,cplex_UB,cplex_gap,cplex_runtime_ms,cplex_nodes,objective_diff,profiles_generated,profiles_after_dominance,profile_bpc_nodes,profile_bpc_pricing_calls,cache_hits,cache_misses,incremental_speedup,verifier_passed,exact_for_fixed_routes,result_file,log_file,notes
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs0",4,1,3,"cplex-fixed-route","fixed_route_optimal",0.27625,0.15625,0.8,0.0828,"candidate_mip_optimal_gap0",0.27625,0.15625,0.8,0.27625,0.27625,0,54.7508,0,5.55111512313E-17,75,75,76,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs0_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs0_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs10",4,1,3,"cplex-fixed-route","fixed_route_optimal",0.33,0.15,1.2,0.1538,"candidate_mip_optimal_gap0",0.33,0.15,1.2,0.33,0.33,0,53.4291,0,0,110,110,111,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs10_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs10_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs11",4,1,3,"cplex-fixed-route","fixed_route_optimal",0.33,0.15,1.2,0.134,"candidate_mip_optimal_gap0",0.33,0.15,1.2,0.33,0.33,0,52.7566,0,0,110,110,111,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs11_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs11_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs12",4,1,3,"cplex-fixed-route","fixed_route_optimal",0.222352941176,0.132352941176,0.6,0.1393,"candidate_mip_optimal_gap0",0.222352941176,0.132352941176,0.6,0.222352941176,0.222352941176,0,53.2073,0,4.70595784563E-13,110,110,111,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs12_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs12_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs13",4,1,3,"cplex-fixed-route","fixed_route_optimal",0.33,0.15,1.2,0.0802,"candidate_mip_optimal_gap0",0.33,0.15,1.2,0.33,0.33,0,54.3254,0,0,110,110,111,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs13_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs13_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs14",4,1,1,"cplex-fixed-route","fixed_route_optimal",0.49,0.25,1.6,0.0139,"candidate_mip_optimal_gap0",0.49,0.25,1.6,0.49,0.49,0,53.204,0,0,5,5,6,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs14_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs14_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs15",4,1,2,"cplex-fixed-route","fixed_route_optimal",0.465,0.225,1.6,0.0366,"candidate_mip_optimal_gap0",0.465,0.225,1.6,0.465,0.465,0,53.9619,0,5.55111512313E-17,22,22,23,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs15_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs15_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs16",4,1,1,"cplex-fixed-route","fixed_route_optimal",0.49,0.25,1.6,0.0095,"candidate_mip_optimal_gap0",0.49,0.25,1.6,0.49,0.49,0,55.255,0,0,3,3,4,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs16_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs16_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs17",4,1,1,"cplex-fixed-route","fixed_route_optimal",0.49,0.25,1.6,0.0186,"candidate_mip_optimal_gap0",0.49,0.25,1.6,0.49,0.49,0,52.5119,0,0,5,5,6,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs17_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs17_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs18",4,1,3,"cplex-fixed-route","fixed_route_optimal",0.222352941176,0.132352941176,0.6,0.1621,"candidate_mip_optimal_gap0",0.222352941176,0.132352941176,0.6,0.222352941176,0.222352941176,0,53.111,0,4.70595784563E-13,125,125,126,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs18_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs18_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs19",4,1,1,"cplex-fixed-route","fixed_route_optimal",0.341176470588,0.191176470588,1,0.0132,"candidate_mip_optimal_gap0",0.341176470588,0.191176470588,1,0.341176470588,0.341176470588,0,52.4818,0,2.35200747767E-13,5,5,6,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs19_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs19_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs1",4,1,2,"cplex-fixed-route","fixed_route_optimal",0.405,0.225,1.2,0.0359,"candidate_mip_optimal_gap0",0.405,0.225,1.2,0.405,0.405,0,56.175,0,0,25,25,26,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs1_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs1_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs2",4,1,2,"cplex-fixed-route","fixed_route_optimal",0.46,0.25,1.4,0.0369,"candidate_mip_optimal_gap0",0.46,0.25,1.4,0.46,0.46,0,53.0212,0,5.55111512313E-17,25,25,26,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs2_cplex.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs2_cplex.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
