instance,route_set_id,V,M,route_lengths,algorithm,status,objective,G,P,runtime_ms,cplex_status,cplex_objective,cplex_G,cplex_P,cplex_LB,cplex_UB,cplex_gap,cplex_runtime_ms,cplex_nodes,objective_diff,profiles_generated,profiles_after_dominance,profile_bpc_nodes,profile_bpc_pricing_calls,cache_hits,cache_misses,incremental_speedup,verifier_passed,exact_for_fixed_routes,result_file,log_file,notes
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs0",4,1,3,"profile-dp","fixed_route_optimal",0.27625,0.15625,0.8,0.1041,"candidate_mip_optimal_gap0",0.27625,0.15625,0.8,0.27625,0.27625,0,0,0,5.55111512313E-17,75,75,76,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs0_profile.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs0_profile.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs10",4,1,3,"profile-dp","fixed_route_optimal",0.33,0.15,1.2,0.1405,"candidate_mip_optimal_gap0",0.33,0.15,1.2,0.33,0.33,0,0,0,0,110,110,111,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs10_profile.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs10_profile.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs11",4,1,3,"profile-dp","fixed_route_optimal",0.33,0.15,1.2,0.1447,"candidate_mip_optimal_gap0",0.33,0.15,1.2,0.33,0.33,0,0,0,0,110,110,111,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs11_profile.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs11_profile.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs12",4,1,3,"profile-dp","fixed_route_optimal",0.222352941176,0.132352941176,0.6,0.0848,"candidate_mip_optimal_gap0",0.222352941176,0.132352941176,0.6,0.222352941176,0.222352941176,0,0,0,4.70595784563E-13,110,110,111,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs12_profile.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs12_profile.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs13",4,1,3,"profile-dp","fixed_route_optimal",0.33,0.15,1.2,0.1359,"candidate_mip_optimal_gap0",0.33,0.15,1.2,0.33,0.33,0,0,0,0,110,110,111,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs13_profile.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs13_profile.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs14",4,1,1,"profile-dp","fixed_route_optimal",0.49,0.25,1.6,0.0133,"candidate_mip_optimal_gap0",0.49,0.25,1.6,0.49,0.49,0,0,0,0,5,5,6,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs14_profile.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs14_profile.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs15",4,1,2,"profile-dp","fixed_route_optimal",0.465,0.225,1.6,0.042,"candidate_mip_optimal_gap0",0.465,0.225,1.6,0.465,0.465,0,0,0,5.55111512313E-17,22,22,23,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs15_profile.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs15_profile.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs16",4,1,1,"profile-dp","fixed_route_optimal",0.49,0.25,1.6,0.013,"candidate_mip_optimal_gap0",0.49,0.25,1.6,0.49,0.49,0,0,0,0,3,3,4,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs16_profile.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs16_profile.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs17",4,1,1,"profile-dp","fixed_route_optimal",0.49,0.25,1.6,0.0171,"candidate_mip_optimal_gap0",0.49,0.25,1.6,0.49,0.49,0,0,0,0,5,5,6,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs17_profile.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs17_profile.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
gcap_smoke_V4_M1.txt,"gcap_smoke_V4_M1_rs18",4,1,3,"profile-dp","fixed_route_optimal",0.222352941176,0.132352941176,0.6,0.1478,"candidate_mip_optimal_gap0",0.222352941176,0.132352941176,0.6,0.222352941176,0.222352941176,0,0,0,4.70595784563E-13,125,125,126,1,0,0,0,"True","True","results/round2_exact_loading\raw\gcap_smoke_V4_M1_rs18_profile.json","results/round2_exact_loading\logs\gcap_smoke_V4_M1_rs18_profile.log","Exact mode enumerates all pickup/drop quantities; dominance only merges identical q-vector and final-load profiles keeping the shortest duration."
