instance,route_set_id,reason
regen_candidate_V12_M2_average.txt,medium_length_5_6,skipped_exact_profile_enumeration_state_explosion_after_initial_round2_timeout
regen_candidate_V12_M2_average.txt,long_length_7_8,skipped_exact_profile_enumeration_state_explosion_after_initial_round2_timeout
regen_V10_M2_average.txt,incremental_100_moves,skipped_after_full_matrix_timeout_replaced_by_V4_incremental_exact_test
regen_candidate_V12_M2_average.txt,rs0,candidate_mip_truncated_not_closed
regen_candidate_V12_M2_average.txt,rs15,candidate_mip_truncated_not_closed
