instance,route_set_id,V,M,route_lengths,algorithm,status,objective,G,P,runtime_ms,cplex_objective,cplex_gap,objective_diff,profiles_generated,profiles_after_dominance,cache_hits,cache_misses,incremental_speedup,verifier_passed,exact_for_fixed_routes,result_file,log_file,notes
gcap_smoke_V4_M1.txt,deterministic_imbalance_partition,4,1,4,profile-dp,fixed_route_optimal,0.222352941176,0.132352941176,0.6,0.4762,0,0,0,375,375,0,0,0,true,true,results/raw\gcap_smoke_V4_M1_profile_dp.json,results/logs\gcap_smoke_V4_M1_profile_dp.log,Profile DP enumerates fixed-route load decisions and combines route profiles exactly when no profile limit/natural-mode pruning is active.
gcap_smoke_V4_M1.txt,incremental_100_moves,4,1,4,incremental-test,incremental_matches_full_recompute,0.222352941176,0,0,35.5859,0,0,0,0,0,99,2,3.13412084974,true,true,results/raw\gcap_smoke_V4_M1_incremental.json,results/logs\gcap_smoke_V4_M1_incremental.log,Incremental evaluator reuses unchanged route profile sets and checks O(|Delta|V) objective update against full recomputation.
regen_V8_M2_average.txt,deterministic_imbalance_partition,8,2,4;4,profile-dp,fixed_route_optimal,0.47263579148,0.246420447874,1.50810229071,188.4265,0,0,0,2766,2546,0,0,0,true,true,results/raw\regen_V8_M2_average_profile_dp.json,results/logs\regen_V8_M2_average_profile_dp.log,Profile DP enumerates fixed-route load decisions and combines route profiles exactly when no profile limit/natural-mode pruning is active.
regen_V8_M2_average.txt,incremental_100_moves,8,2,4;4,incremental-test,incremental_matches_full_recompute,0.47263579148,0,0,45303.7834,0,0,0,0,0,198,4,1.03368251575,true,true,results/raw\regen_V8_M2_average_incremental.json,results/logs\regen_V8_M2_average_incremental.log,Incremental evaluator reuses unchanged route profile sets and checks O(|Delta|V) objective update against full recomputation.
regen_V10_M2_average.txt,deterministic_imbalance_partition,10,2,5;5,profile-dp,fixed_route_optimal,0.650898091836,0.284852584,2.44030338557,218.8869,0,0,0,5571,3304,0,0,0,true,true,results/raw\regen_V10_M2_average_profile_dp.json,results/logs\regen_V10_M2_average_profile_dp.log,Profile DP enumerates fixed-route load decisions and combines route profiles exactly when no profile limit/natural-mode pruning is active.
regen_V10_M2_average.txt,incremental_100_moves,10,2,5;5,incremental-test,incremental_matches_full_recompute,0.650898091836,0,0,52233.128,0,0,0,0,0,198,4,1.01542019603,true,true,results/raw\regen_V10_M2_average_incremental.json,results/logs\regen_V10_M2_average_incremental.log,Incremental evaluator reuses unchanged route profile sets and checks O(|Delta|V) objective update against full recomputation.
regen_candidate_V12_M2_average.txt,deterministic_imbalance_partition,12,2,6;6,profile-dp,fixed_route_diagnostic_pruned_profiles,0.965363881082,0.643156621195,2.14804839925,0.3348,0,0,0,1536,74,0,0,0,true,false,results/raw\regen_candidate_V12_M2_average_profile_dp.json,results/logs\regen_candidate_V12_M2_average_profile_dp.log,Profile DP enumerates fixed-route load decisions and combines route profiles exactly when no profile limit/natural-mode pruning is active.; Large route set used natural-mode/profile-budget pruning; row is diagnostic.
regen_candidate_V12_M2_average.txt,incremental_100_moves,12,2,6;6,incremental-test,incremental_matches_full_recompute,0.965363881082,0,0,129.7616,0,0,0,0,0,198,4,1.32067958635,true,false,results/raw\regen_candidate_V12_M2_average_incremental.json,results/logs\regen_candidate_V12_M2_average_incremental.log,Incremental evaluator reuses unchanged route profile sets and checks O(|Delta|V) objective update against full recomputation.
regen_V20_M2_average.txt,deterministic_imbalance_partition,20,2,6;6,profile-dp,fixed_route_diagnostic_pruned_profiles,1.04697180795,0.240666916473,5.3753659432,4.0432,0,0,0,2073,263,0,0,0,true,false,results/raw\regen_V20_M2_average_profile_dp.json,results/logs\regen_V20_M2_average_profile_dp.log,Profile DP enumerates fixed-route load decisions and combines route profiles exactly when no profile limit/natural-mode pruning is active.; Large route set used natural-mode/profile-budget pruning; row is diagnostic.
regen_V20_M2_average.txt,incremental_100_moves,20,2,6;6,incremental-test,incremental_matches_full_recompute,1.04697180795,0,0,2948.5531,0,0,0,0,0,198,4,1.07513058404,true,false,results/raw\regen_V20_M2_average_incremental.json,results/logs\regen_V20_M2_average_incremental.log,Incremental evaluator reuses unchanged route profile sets and checks O(|Delta|V) objective update against full recomputation.
